Name,ImageName,PageURL,Character List,Characters,Control,Flavor Text,Game Text,Numbers,Printing,Rarity,Subtype,Traits,Trivia,Type
Havok - Geo-Knowledge,Havokgeoknowledge-CLOP_cb20211015181202.jpg,https://cardguide.fandom.com/wiki/Havok_-_Geo-Knowledge_(CLOP),,Havok,KQ,,Remove 1 Hit from Havok's Battlesite.,Cost/Effect: -,Normal,Uncommon,,,,Special
Havok - Sibling Rivalry,Havoksiblingrivalry-CLOP_cb20211015191444.jpg,https://cardguide.fandom.com/wiki/Havok_-_Sibling_Rivalry_(CLOP),,Havok; Cyclops,LT,,"Acts as a level 3 Intellect attack, +1 for each Mission card in opponent's Completed Missions Pile.",Cost/Effect: Intellect 3,Normal,Common,,,,Special
Heroes For Hire - White Tiger,Heroesforhirewhitetiger-CLOP_cb20211020194131.jpg,https://cardguide.fandom.com/wiki/Heroes_for_Hire_-_White_Tiger_(CLOP),,White Tiger (Ava Ayala),HY,,"Acts as a level 6 Fighting attack. If successful, Target Character must discard 2 cards of opponent's choice. Cards may be Placed in Hand.",Cost/Effect: Fighting 6,Normal,Common,,,,Special
Heroes for Hire,Heroesforhire-CLOP_cb20211009121544.jpg,https://cardguide.fandom.com/wiki/Heroes_for_Hire_(CLOP),,"White Tiger, Iron Fist, Hulk",,,-,Energy 2Fighting 7Strength 8Intellect 4,Normal,Rare,,,,Character
Heroes for Hire - Hercules,Heroesforhirehercules-CLOP_cb20211015195040.jpg,https://cardguide.fandom.com/wiki/Heroes_for_Hire_-_Hercules_(CLOP),,Hercules,JP,,Heroes For Hire Hits to K.O. is increased by 4 and Heroes For Hire is -1 to all action for remainder of game.,Cost/Effect: -,Normal,Common,,,,Special
Heroes For Hire - The Black Knight,Heroesforhiretheblackknight-CLOP_cb20211020174612.jpg,https://cardguide.fandom.com/wiki/Heroes_for_Hire_-_The_Black_Knight_(CLOP),,Black Knight (Marvel Comics) (Dane Whitman),JW,,Acts as a level 3 Fighting attack. May make 1 additional Power card attack. Neither attack may be defended with a Special card.,Cost/Effect: Fighting 3,Normal,Common,,,,Special
Holocaust - Nemesis,Holocaustnemesis-CLOP_cb20211020194745.jpg,https://cardguide.fandom.com/wiki/Holocaust_-_Nemesis_(CLOP),,Nemesis,KH,,"Opponent -3 to Venture Total for this battle. If opponent has ""The Age of Apocalypse"" Mission, opponent -6 to Venture Total for this battle.",Cost/Effect: -,Normal,Common,,,,Special
Henry Pym - Founding Avenger,Henrypymfoundingavenger-CLOP_cb20211015194014.jpg,https://cardguide.fandom.com/wiki/Henry_Pym_-_Founding_Avenger_(CLOP),,Ant-Man (Henry Pym); Crosby (ant),JZ,,Acts as a level 5 Intellect attack. May not be defended with a Special card.,Cost/Effect: Intellect 5,Normal,Common,,,,Special
Havok - The Brotherhood,Havokthebrotherhood-CLOP_cb20211015192533.jpg,https://cardguide.fandom.com/wiki/Havok_-_The_Brotherhood_(CLOP),,"Havok, Beast, Fatale",HE,,Opponent's Team with Power Grid 7 or 8 in Power Type of Havok's choice may not use Power cards of that Power Type to attack for remainder of battle. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Hulk: Mr. Fix-It (sic),Hulkmrfixit-CLOP_cb20211009130146.jpg,https://cardguide.fandom.com/wiki/Hulk:_Mr._Fix-It_(CLOP),,"Hulk, Mr. Fixit",,,+1 all attacks vs. Characters with Strength Power Grid 7 or 8.,Energy 2Fighting 6Strength 6Intellect 6,Normal,Rare,,,,Character
Hydra - Fortunato,Hydrafortunato-CLOP_cb20211020195216.jpg,https://cardguide.fandom.com/wiki/Hydra_-_Fortunato_(CLOP),,Vincente Fortunato; Angel (wolf),DQ,,Target Character's Hits to K.O. number is decreased by 5 points for remainder of game. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Human Torch: Invaders,Humantorchinvaders-CLOP_cb20211009130652.jpg,https://cardguide.fandom.com/wiki/Human_Torch:_Invaders_(CLOP),,Human Torch,,,-,Energy 7Fighting 6Strength 4Intellect 3,Normal,Uncommon,,,,Character
Heroes For Hire - Power Man,Heroesforhirepowerman-CLOP_cb20211020174140.jpg,https://cardguide.fandom.com/wiki/Heroes_for_Hire_-_Power_Man_(CLOP),,Power Man (Luke Cage),AD,,Avoid 1 Strength or Energy attack.,Cost/Effect: -,Normal,Uncommon,,,,Special
Avenger's ID Card,Imageinducer-P_cb20160917001038.jpg,https://cardguide.fandom.com/wiki/Image_Inducer_(P),,Nightcrawler,,,Teammate may discard 2 cards from top of Draw Pile to Dead Pile to move any attack made on any Front Line Character onto Character with Image Inducer. Character may defend.,Cost/Effect: 6 Energy and teammate with 5 Any-Power or less,Normal,Promo,Artifact,,,Tactic
Invisible Woman: Malice,Invisiblewomanmalice-CLOP_cb20211009132020.jpg,https://cardguide.fandom.com/wiki/Invisible_Woman:_Malice_(CLOP),,Malice (Invisible Woman),,,-,Energy 7Fighting 6Strength 4Intellect 2,Normal,Uncommon,,,,Character
Heroes For Hire - Iron Fist,Heroesforhireironfist-CLOP_cb20211015201037.jpg,https://cardguide.fandom.com/wiki/Heroes_for_Hire_-_Iron_Fist_(CLOP),,Iron Fist,AS,,Act as a level 11 Fighting attack. Heroes For Hire may not attack for remainder of battle. One Per Deck,Cost/Effect: Fighting 11,Normal,Rare,,,,Special
Heroes For Hire - The Hulk,Heroesforhirethehulk-CLOP_cb20211020185037.jpg,https://cardguide.fandom.com/wiki/Heroes_for_Hire_-_The_Hulk_(CLOP),,Hulk,JC,,Acts as a level 5 Strength attack. Heroes For Hire may play 1 additional Special card.,Cost/Effect: Strength 5,Normal,Uncommon,,,,Special
Inhumans - Maximus the Mad,Inhumansmaximusthemad-CLOP_cb20211020195551.jpg,https://cardguide.fandom.com/wiki/Inhumans_-_Maximus_the_Mad_(CLOP),,Maximus,AS,,Acts as a level 9 Intellect attack. One Per Deck,Cost/Effect: Intellect 9,Normal,Common,,,,Special
Iron Man: Original Armor,Ironmanoriginalarmor-CLOP_cb20211009132341.jpg,https://cardguide.fandom.com/wiki/Iron_Man:_Original_Armor_(CLOP),,Iron Man,,,"May have duplicate ""Radar Warning"" Special cards.",Energy 4Fighting 3Strength 5Intellect 7,Normal,Common,,,,Character
Ka-Zar - Lord Kevin Plunder,Kazarlordkevinplunder-CLOP_cb20211020202243.jpg,https://cardguide.fandom.com/wiki/Ka-Zar_-_Lord_Kevin_Plunder_(CLOP),,Kevin Plunder,KG,,Ka-Zar may not be attacked with by a card with a Value of 7 or greater for remainder of battle.,Cost/Effect: -,Normal,Uncommon,,,,Special
Kazar - King of the Savage Land,Kazarkingofthesavageland-CLOP_cb20211020201745.jpg,https://cardguide.fandom.com/wiki/Ka-Zar_-_King_of_the_Savage_Land_(CLOP),,"Ka-Zar, Zabu",EN,,Play on your turn to Concede battle. Ka-Zar's Mission cards Ventured this battle return to pile Ventured from. Opponent's Mission cards can advance as normal.,Cost/Effect: -,Normal,Rare,,,,Special
Ka-Zar - Primitive Arsenal,Kazarprimitivearsenal-CLOP_cb20211020202454.jpg,https://cardguide.fandom.com/wiki/Ka-Zar_-_Primitive_Arsenal_(CLOP),,"Ka-Zar, Zabu",AQ,,"Acts as a level 7 Energy, Fighting, Strength, or Intellect attack. One Per Deck",Cost/Effect: Energy/Strength/Fighting/Intellect 7,Normal,Rare,,,,Special
Ka-Zar - Zabu,Kazarzabu-CLOP_cb20211021153432.jpg,https://cardguide.fandom.com/wiki/Ka-Zar_-_Zabu_(CLOP),,Zabu,JC,,Acts as a level 5 Fighting attack. Ka-Zar may play 1 additional Special card.,Cost/Effect: Fighting 5,Normal,Common,,,,Special
Kingpin - Asian Connections,Kingpinasianconnection-CLOP_cb20211021153732.jpg,https://cardguide.fandom.com/wiki/Kingpin_-_Asian_Connections_(CLOP),,Kingpin,HE,,Opponent's Team with Power Grid 7 or 8 in Power Type of Kingpin's choice may not use Power cards of that Power Type to attack for remainder of battle. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Kree - Dr. Minerva,Kreedrminerva-CLOP_cb20211021154328.jpg,https://cardguide.fandom.com/wiki/Kree_-_Dr._Minerva_(CLOP),,Doctor Minerva,JV,,"Acts as a level 3 Energy attack. If successful, opponent must reveal Hand and play open-handed for remainder of battle.",Cost/Effect: Energy 3,Normal,Uncommon,,,,Special
Leader,Leader-CLOP_cb20211009132922.jpg,https://cardguide.fandom.com/wiki/Leader_(CLOP),,Leader,,,"Power cards are +2 for defense if ""Twisted Mentality"" is in play.",Energy 3Fighting 4Strength 2Intellect 7,Normal,Uncommon,,,,Character
Krakoa,Krakoa-P_cb20211009143945.jpg,https://cardguide.fandom.com/wiki/Krakoa_(P),Sunfire Thunderbird Angel Polaris Colossus Wolverine,"Angel, Krakoa, Storm, Sunfire, Wolverine",,,Krakoa Team's Energy Power cards are +2 to attack.,,Normal,Promo,,,,Location
Ka-Zar - Shanna the She-Devil,Kazarshannatheshedevil-CLOP_cb20211020202704.jpg,https://cardguide.fandom.com/wiki/Ka-Zar_-_Shanna_the_She-Devil_(CLOP),,Shanna the She-Devil,KS,,Remove a Power card Hit from Ka-Zar's or Teammate's Permanent Record.,Cost/Effect: -,Normal,Common,,,,Special
Ka-Zar - Jungle Savvy,Kazarjunglesavvy-CLOP_cb20211020195812.jpg,https://cardguide.fandom.com/wiki/Ka-Zar_-_Jungle_Savvy_(CLOP),,"Ka-Zar, Zabu",JH,,"Acts as a level 5 Intellect attack. If successful, Target Character -2 to defense for remainder of battle.",Cost/Effect: Intellect 5,Normal,Common,,,,Special
Leader - Freehold,Leaderfreehold-CLOP_cb20211021154807.jpg,https://cardguide.fandom.com/wiki/Leader_-_Freehold_(CLOP),,Leader,BR,,Leader may have 1 additional card Placed on him until Leader is K.O.'d. May be placed from Reserve.,Cost/Effect: -,Normal,Common,,,,Special
Leader - Omnibus,Leaderomnibus-CLOP_cb20211021160422.jpg,https://cardguide.fandom.com/wiki/Leader_-_Omnibus_(CLOP),,"Leader, Omnibus",BY,,Leader must discard all cards with an Intellect icon currently in Hand. Opponent must discard all cards with an Intellect icon currently placed and in Hand. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Leader - Techno-Arsenal,Leadertechnoarsenal-CLOP_cb20211021160639.jpg,https://cardguide.fandom.com/wiki/Leader_-_Techno-Arsenal_(CLOP),,Leader,JH,,"Acts as a level 5 Energy attack. If successful, Target Character -2 to defense for remainder of battle.",Cost/Effect: Energy 5,Normal,Uncommon,,,,Special
Leader - The Regeneration Crystal,Leadertheregenerationcrystal-CLOP_cb20211021160946.jpg,https://cardguide.fandom.com/wiki/Leader_-_The_Regeneration_Crystal_(CLOP),,"unknown, Leader",KF,,"For every Hit in Leader's Permanent Record, move 1 Mission card from the Defeated Missions Pile to the Reserve Missions Pile. One Per Deck",Cost/Effect: -,Normal,Rare,,,,Special
Maggot (sic),Maggot-CLOP_cb20211009133217.jpg,https://cardguide.fandom.com/wiki/Maggot_(CLOP),,Maggott,,,"May play ""Slugfest"" from Reserve.",Energy 4Fighting 6Strength 4Intellect 4,Normal,Rare,,,,Character
Leader - Twisted Mentality,Leadertwistedmentality-CLOP_cb20211021161405.jpg,https://cardguide.fandom.com/wiki/Leader_-_Twisted_Mentality_(CLOP),,Leader,KC,,All attacks by opponent's team must be made against Leader until Leader is K.O.'d or cannot be attacked.,Cost/Effect: -,Normal,Common,,,,Special
Maggot (sic) - Awesome Aussie,Maggotawesomeaussie-CLOP_cb20211021161629.jpg,https://cardguide.fandom.com/wiki/Maggot_-_Awesome_Aussie_(CLOP),,Maggott,DO,,Negates the effect of any 1 Special card played by opponent against Maggot (sic) only.,Cost/Effect: -,Normal,Common,,,,Special
Maggot (sic) - Tunnel Worms,Maggottunnelworms-CLOP_cb20211021162109.jpg,https://cardguide.fandom.com/wiki/Maggot_-_Tunnel_Worms_(CLOP),,Maggott,HY,,"Acts as a level 6 Energy attack. If successful, Target Character must discard 2 cards of opponent's choice. Cards may be Placed or in Hand.",Cost/Effect: Energy 6,Normal,Uncommon,,,,Special
Maggot (sic) - Slugfest,Maggotslugfest-CLOP_cb20211021161911.jpg,https://cardguide.fandom.com/wiki/Maggot_-_Slugfest_(CLOP),,Maggott,AY,,Maggot's (sic) Strength Rating increases to 7 for remainder of game. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Marauders - Riptide,Maraudersriptide-CLOP_cb20211021162413.jpg,https://cardguide.fandom.com/wiki/Marauders_-_Riptide_(CLOP),,Riptide,DQ,,Opponent's team's Hits to K.O. number is decreased by 3 points for remainder of battle. One Per Deck,Cost/Effect: -,Normal,Uncommon,,,,Special
Marrow - Bone Snap,Marrowbonesnap-CLOP_cb20211021162721.jpg,https://cardguide.fandom.com/wiki/Marrow_-_Bone_Snap_(CLOP),,Marrow,CC,,Acts as a level 5 Energy Power card. May be used to attack or defend. May not be combined with Universe cards.,Cost/Effect: Energy 5,Normal,Common,,,,Special
Marrow,Marrow-CLOP_cb20211009133747.jpg,https://cardguide.fandom.com/wiki/Marrow_(CLOP),,Marrow,,,"May have 1 duplicate ""Bone Snap"" Special card.",Energy 2Fighting 6Strength 4Intellect 4,Normal,Rare,,,,Character
Marrow - Morlock History,Marrowmorlockhistory-CLOP_cb20211021163137.jpg,https://cardguide.fandom.com/wiki/Marrow_-_Morlock_History_(CLOP),,Marrow,KD,,All Intellect Power Card Hits on Target Character are doubled when determing Cumulative K.O. for remainder of game. Does not count toward Venture Total. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Mole Man - Social Outcast,Molemansocialoutcast-CLOP_cb20211021165225.jpg,https://cardguide.fandom.com/wiki/Mole_Man_-_Social_Outcast_(CLOP),,Mole Man,KC,,All attacks by opponent's team must be made against Mole Man until Mole Man is K.O.'d or cannot be attacked.,Cost/Effect: -,Normal,Common,,,,Special
Mole Man,Moleman-CLOP_cb20211009134241.jpg,https://cardguide.fandom.com/wiki/Mole_Man_(CLOP),,Mole Man,,,"Power cards are +2 for defense if ""Social Outcast"" is in play.",Energy 4Fighting 4Strength 2Intellect 6,Normal,Uncommon,,,,Character
Mole Man - Energy Staff,Molemanenergystaff-CLOP_cb20211021164448.jpg,https://cardguide.fandom.com/wiki/Mole_Man_-_Energy_Staff_(CLOP),,Mole Man,JZ,,Acts as a level 5 Energy attack. May not be defended with a Special card.,Cost/Effect: Energy 5,Normal,Uncommon,,,,Special
Mole Man - Monster Island,Molemanmonsterisland-CLOP_cb20211021164708.jpg,https://cardguide.fandom.com/wiki/Mole_Man_-_Monster_Island_(CLOP),,Mole Man,FD,,"Only Mole Man and Target Character may attack, be attacked, or defend this battle. One Per Deck",Cost/Effect: -,Normal,Very Rare,,,,Special
Mole Man - The Mole Men,Molemanthemolemen-CLOP_cb20211021165840.jpg,https://cardguide.fandom.com/wiki/Mole_Man_-_The_Mole_Men_(CLOP),,-,JU,,Mole Man may make 1 follow-up attack after Mole Man plays a Universe: Teamwork card for remainder of game.,Cost/Effect: -,Normal,Common,,,,Special
Marrow - Doubleheart,Marrowdoubleheart-CLOP_cb20211021162933.jpg,https://cardguide.fandom.com/wiki/Marrow_-_Doubleheart_(CLOP),,Marrow,CG,,Marrow cannot be Spectrum K.O.'d for remainder of game. One Per Deck,Cost/Effect: -,Normal,Uncommon,,,,Special
Morlocks - Leech,Morlocksleech-CLOP_cb20211021170746.jpg,https://cardguide.fandom.com/wiki/Morlocks_-_Leech_(CLOP),,Leech,JT,,"Morlocks may discard up to 4 cards from Hand. Opponent must discard an equal number of cards from Hand, and 1 Placed card of opponent's choice. One Per Deck",Cost/Effect: -,Normal,Common,,,,Special
Mole Man - Uproot Earth,Molemanuprootearth-CLOP_cb20211021170321.jpg,https://cardguide.fandom.com/wiki/Mole_Man_-_Uproot_Earth_(CLOP),,Mole Man,LC,,"Acts as a level 1 MultiPower attack against Target Character, or a level Any Power attack against Target Battlesite. One Per Deck",Cost/Effect: Energy/Strength/Fighting/Intellect 1; Any-Power 11,Normal,Rare,,,,Special
New Warriors - Turbo,Newwarriorsturbo-CLOP_cb20211021171213.jpg,https://cardguide.fandom.com/wiki/New_Warriors_-_Turbo_(CLOP),,Turbo,JW,,Acts as a level 3 Energy attack. May make 1 additional Power card attack. Neither attack may be defended with a Special card.,Cost/Effect: Energy 3,Normal,Common,,,,Special
Nick Fury - LMD,Nickfurylmd-CLOP_cb20211021172010.jpg,https://cardguide.fandom.com/wiki/Nick_Fury_-_LMD_(CLOP),,Nick Fury (LMD),EB,,"Plays during battle. For remainder of game, any attack made on Nick Fury may be moved to LMD. Nick Fury's team may not defend. LMD K.O.'d with 1 Hit. One Per Deck",Cost/Effect: -,Normal,Uncommon,,,,Special
Ka-Zar,Kazar-CLOP_cb20211009132607.jpg,https://cardguide.fandom.com/wiki/Ka-Zar_(CLOP),,"Ka-Zar, Zabu",,,+1 to all attacks vs. Characters with Fighting Power Grid 7 or 8.,Energy 1Fighting 7Strength 5Intellect 5,Normal,Uncommon,,,,Character
Psycho-Man,Psychoman-CLOP_cb20211009134511.jpg,https://cardguide.fandom.com/wiki/Psycho-Man_(CLOP),,Psycho-Man,,,"May play ""Emotion Box"" from Reserve.",Energy 5Fighting 2Strength 5Intellect 6,Normal,Uncommon,,,,Character
Psycho-Man - Emotion Box,Psychomanemotionbox-CLOP_cb20211021174511.jpg,https://cardguide.fandom.com/wiki/Psycho-Man_-_Emotion_Box_(CLOP),,Psycho-Man,HH,,Psycho-Man may have an unlimited number of Special cards Placed on im until Psycho-Man is K.O.'d. Specials may not be duplicates.,Cost/Effect: -,Normal,Common,,,,Special
Psycho-Man - Doubt,Psychomandoubt-CLOP_cb20211021174244.jpg,https://cardguide.fandom.com/wiki/Psycho-Man_-_Doubt_(CLOP),,Psycho-Man,BD,,Target opponent may not use Power Type of Psycho-Man's choice for remainder of battle. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Mole Man - Strategic Tunneling,Molemanstrategictunneling-CLOP_cb20211021165532.jpg,https://cardguide.fandom.com/wiki/Mole_Man_-_Strategic_Tunneling_(CLOP),,Mole Man,AD,,Negates the effect of any 1 Special card played by opponent.,Cost/Effect: -,Normal,Common,,,,Special
Onslaught - Dark Thoughts,Onslaughtdarkthoughts-CLOP_cb20211021173656.jpg,https://cardguide.fandom.com/wiki/Onslaught_-_Dark_Thoughts_(CLOP),,Onslaught,EI,,Acts as a level 2 Intellect attack. May be made after opponent has conceded the battle Opponent may defend.,Cost/Effect: Intellect 2,Normal,Common,,,,Special
Psycho-Man - Fear,Psychomanfear-CLOP_cb20211021174854.jpg,https://cardguide.fandom.com/wiki/Psycho-Man_-_Fear_(CLOP),,Psycho-Man,CM,,Opponent's team is -2 to all attacks against Psycho-Man for remainder of battle.,Cost/Effect: -,Normal,Uncommon,,,,Special
Psycho-Man - Malice,Psychomanmalice-CLOP_cb20211024122759.jpg,https://cardguide.fandom.com/wiki/Psycho-Man_-_Malice_(CLOP),,Malice (Invisible Woman),HI,,Psycho-Man may Place and play any Invisible Woman Special cards for remainder of game.,Cost/Effect: -,Normal,Rare,,,,Special
Post - Mysterious Past,Postmysteriouspast-CLOP_cb20211021173856.jpg,https://cardguide.fandom.com/wiki/Post_-_Mysterious_Past_(CLOP),,Post,KB,,"Acts as a level 7 Intellect attack. If successful, acts as a level 3 Strength Hit. Hit goes on Target Character's Permanent Record. Does not count toward Venture Total.","Cost/Effect: Intellect 7, Strength 3",Normal,Common,,,,Special
Psycho-Man - Microverse Menace,Psychomanmicroversemenace-CLOP_cb20211024125744.jpg,https://cardguide.fandom.com/wiki/Psycho-Man_-_Microverse_Menace_(CLOP),,Psycho-Man,JS,,Psycho-Man may combine MultiPower or Intellect Power cards with Intellect Basic Universe cards usable by Psycho-Man to avoid any attack for remainder of game.,Cost/Effect: -,Normal,Common,,,,Special
Puppet Master - Automatons,Puppetmasterautomatons-CLOP_cb20211024130449.jpg,https://cardguide.fandom.com/wiki/Puppet_Master_-_Automatons_(CLOP),,Puppet Master,AR,,Acts as a level 7 Strength attack.,Cost/Effect: Strength 7,Normal,Uncommon,,,,Special
Puppet Master - Criminal Mastermind,Puppetmastercriminalmastermind-CLOP_cb20211024130656.jpg,https://cardguide.fandom.com/wiki/Puppet_Master_-_Criminal_Mastermind_(CLOP),,Puppet Master,HB,,Sort through opponent's Power Pack and remove any 3 cards of Puppet Master's choice. Discard chosen cards into Dead Pile. Reshuffle Power Pack.,Cost/Effect: -,Normal,Common,,,,Special
Psycho-Man - Hate,Psychomanhate-CLOP_cb20211021175145.jpg,https://cardguide.fandom.com/wiki/Psycho-Man_-_Hate_(CLOP),,Psycho-Man,KI,,"Opponent's team may not play any cards with the word ""Teammate"" for remainder of battle. Affected cards do not have to be discarded.",Cost/Effect: -,Normal,Common,,,,Special
Puppet Master - Mystic Clay,Puppetmastermysticclay-CLOP_cb20211024131837.jpg,https://cardguide.fandom.com/wiki/Puppet_Master_-_Mystic_Clay_(CLOP),,"Puppet Master, Invisible Woman, Human Torch, Mister Fantastic, Thing (Marvel Comics)",KL,,"Opponent must immediately discard all Special cards in play that affect ""remainder of the Battle"" or the ""remainder of the game.""",Cost/Effect: -,Normal,Common,,,,Special
Pym Particles,Pymparticles-CLOP_cb20210929193256.jpg,https://cardguide.fandom.com/wiki/Pym_Particles_(CLOP),,"Henry ""Hank"" Pym",,,"During each Draw Phase, teammate and opponent draw either 6 cards, 8 cards, or 10 cards. Teammate's choice before Draw Phase. May change each battle.One Per Deck",Cost/Effect: 6 Strength and teammate with Strength 5 or less to use,Normal,Common,Artifact,,,Tactic
Puppet Master - Mental Domination,Puppetmastermentaldomination-CLOP_cb20211024131512.jpg,https://cardguide.fandom.com/wiki/Puppet_Master_-_Mental_Domination_(CLOP),,Puppet Master,BQ,,Plays during battle. Puppet Master may exchange this card for 1 any Special card in Dead Pile not playable by Puppet Master and play it immediately. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Puppet Master - Alicia Masters,Puppetmasteraliciamasters-CLOP_cb20211024130139.jpg,https://cardguide.fandom.com/wiki/Puppet_Master_-_Alicia_Masters_(CLOP),,"Thing (Marvel Comics), Alicia Masters, Puppet Master",JQ,,"Puppet Master +3 to Venture Total for this battle. If opponent has ""The Coming of Galactus"" Mission, Puppet Master +6 to Venture Total for this battle.",Cost/Effect: -,Normal,Common,,,,Special
Puppet Master - Liddleville,Puppetmasterliddleville-CLOP_cb20211024131108.jpg,https://cardguide.fandom.com/wiki/Puppet_Master_-_Liddleville_(CLOP),,"Thing (Marvel Comics), Puppet Master",LS,,"Play during battle. Next battle, opponent may not play any Activator cards. One Per Deck",Cost/Effect: -,Normal,Rare,,,,Special
Puppet Master,Puppetmaster-CLOP_cb20211009134709.jpg,https://cardguide.fandom.com/wiki/Puppet_Master_(CLOP),,Puppet Master,,,"May play ""Alicia Masters"" from Reserve.",Energy 6Fighting 3Strength 1Intellect 6,Normal,Uncommon,,,,Character
Reyes - Force Projection,Reyesforceprojection-CLOP_cb20211024132958.jpg,https://cardguide.fandom.com/wiki/Reyes_-_Force_Projection_(CLOP),,Cecilia Reyes,BJ,,Reyes may not be attacked for remainder of battle. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Reyes,Reyes-CLOP_cb20211009135028.jpg,https://cardguide.fandom.com/wiki/Reyes_(CLOP),,Cecilia Reyes,,,Intellect Power Grid Rating is 8 for defense.,Energy 6Fighting 2Strength 2Intellect 6,Normal,Rare,,,,Character
Reyes - Reluctant Hero,Reyesreluctanthero-CLOP_cb20211024133534.jpg,https://cardguide.fandom.com/wiki/Reyes_-_Reluctant_Hero_(CLOP),,Cecilia Reyes,AL,,Target Character must discard 1 Placed card of Reyes' choice.,Cost/Effect: -,Normal,Uncommon,,,,Special
Reyes - Medical Background,Reyesmedicalbackground-CLOP_cb20211024133314.jpg,https://cardguide.fandom.com/wiki/Reyes_-_Medical_Background_(CLOP),,Cecilia Reyes,KR,,Remove 1 Hit of 5 or less from the Permanent Record or Hits From Current Battle of Reyes or teammate. May affect Venture Total.,Cost/Effect: -,Normal,Common,,,,Special
Reavers - Gateway,Reaversgateway-CLOP_cb20211024132132.jpg,https://cardguide.fandom.com/wiki/Reavers_-_Gateway_(CLOP),,Gateway,LI,,Discard all cards Placed on 1 Front Line teammate and remove all Hits on teammate's Permanent Record. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Scorpion - Acid Spray,Scorpionacidspray-CLOP_cb20211024134103.jpg,https://cardguide.fandom.com/wiki/Scorpion_-_Acid_Spray_(CLOP),,Scorpion (Marvel Comics),JH,,"Acts as a level 5 Energy attack. If successful, Target Character -2 to defense for remainder of battle.",Cost/Effect: Energy 5,Normal,Common,,,,Special
Red Skull - The Scourge,Redskullthescourge-CLOP_cb20211024132539.jpg,https://cardguide.fandom.com/wiki/Red_Skull_-_The_Scourge_(CLOP),,"Red Skull, Scourge (Marvel Comics)",KD,,All Strength Power Card Hits on Target Character are doubled when determing Cumulative K.O. for remainder of game. Does not count toward Venture Total. One Per Deck,Cost/Effect: -,Normal,Commoon,,,,Special
Scorpion: Mac Gargan: Private Eye,Scorpionmacgarganprivateeye-CLOP_cb20211024135028.jpg,https://cardguide.fandom.com/wiki/Scorpion_-_Mac_Gargan:_Private_Eye_(CLOP),,Scorpion (Marvel Comics),BY,,Scorpion must discard all cards with a Strength icon currently in Hand. Opponent must discard all cards with a Strength icon currently Placed an in Hand. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Scorpion - Scorpion Sting,Scorpionscorpionsting-CLOP_cb20211024135754.jpg,https://cardguide.fandom.com/wiki/Scorpion_-_Scorpion_Sting_(CLOP),,Scorpion (Marvel Comics),AR,,Acts as a level 7 Fighting attack.,Cost/Effect: Fighting 7,Normal,Uncommon,,,,Special
Scorpion - Arachnid Strength,Scorpionarachnidstrength-CLOP_cb20211024134558.jpg,https://cardguide.fandom.com/wiki/Scorpion_-_Arachnid_Strength_(CLOP),,Scorpion (Marvel Comics),JS,,Scorpion may combine MultiPower or Strength Power cards with Strength Basic Universe cards usable by Scorpion to avoid any attack for remainder of game.,Cost/Effect: -,Normal,Common,,,,Special
Scorpion - The Jameson Connection,Scorpionthejamesonconnection-CLOP_cb20211024140358.jpg,https://cardguide.fandom.com/wiki/Scorpion_-_The_Jameson_Connection_(CLOP),,"J. Jonah Jameson, Scorpion (Marvel Comics)",HE,,Opponent's Team with Power Grid of 7 or 8 in Power Type of Scorpion's choice may not use Power cards of that Power Type to attack for remainder of battle. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Serpent Society - Fer-de-Lance,Serpentsocietyferdelance-CLOP_cb20211024140703.jpg,https://cardguide.fandom.com/wiki/Serpent_Society_-_Fer-De-Lance_(CLOP),,Fer-de-Lance,EI,,Acts as a level 2 Energy attack. May be made after opponent has conceded the battle. Opponent may defend.,Cost/Effect: Energy 2,Normal,Common,,,,Special
Shadowcat: Age of Apocalypse,Shadowcatageofapocalypse-CLOP_cb20211009135540.jpg,https://cardguide.fandom.com/wiki/Shadowcat:_Age_of_Apocalypse_(CLOP),,Shadowcat,,,May attack the Reserve with Intellect or Strength Power cards.,Energy 6Fighting 6Strength 3Intellect 3,Normal,Very Rare,,,,Character
Shadowcat - Cat Claws,Shadowcatcatclaws-CLOP_cb20211024140910.jpg,https://cardguide.fandom.com/wiki/Shadowcat_-_Cat_Claws_(CLOP),,Shadowcat,HO,,"Acts as a level 5 Fighting attack. If opponent has ""The Age of Apocalypse"" Mission, opponent also -3 to Venture Total for this battle.",Cost/Effect: Fighting 5,Normal,Common,,,,Special
